merchant_mask,score,segment_type,gen_industry,log_orders,log_gmv,CTR,price_competitiveness,avg_order_value,do_click_ratio,is_active
Лунелчестер,0.7348320776662058,big,FMCG,6.059123195581797,14.112794138061243,0.04092791399356933,0.9487,3152.6838407494147,0.14772841861944322,1
Яскарград,0.7346285591413824,top100,FMCG,7.2875606403097235,15.577775131242067,0.035188348897149474,0.4788,3987.4154688569474,0.11217681800342685,1
Эльвилпорт,0.7345114180862669,big,CEHAC,5.978885764901122,16.191748726805262,0.02240333999582131,0.8856,27320.63959390863,0.27799877853523264,1
Светальорск,0.7341037139002434,big,FMCG,6.418364935936212,15.043456106081102,0.024731868789447938,0.8323,5578.769607843137,0.17438615357042273,1
Таелоград,0.7339456569321641,big,Other,7.6577552711348655,15.921748595081047,0.018256899393894983,0.7882,3883.397448015123,0.13840805648138194,1
Холонбург,0.7331826841580262,big,DIY,6.523562306149512,16.57206218314181,0.03561817216671484,0.5835,23155.076470588236,0.08344824660033519,1
Южополис,0.732032305732355,top100,DIY,6.625392368007956,16.470599548163413,0.02543616565568959,0.6733,18892.763612217794,0.1002715837621498,1
Жаропорт,0.7312523624721351,big,DIY,6.57507584059962,16.32061420172014,0.021298387183331723,0.7105,17101.713687150837,0.15557539671671386,1
Царинбург,0.7308571522941791,big,Fashion,7.978310969867722,17.698631019965948,0.013017245635175862,0.6689,16658.283950617282,0.1947206581206821,1
Волирбург,0.7306776794976547,top100,Home,8.078067881815437,16.832552264189292,0.014090670059706488,0.7472,6341.018311607697,0.14683763010124082,1
Орстоград,0.7305598101760233,top100,CEHAC,7.358193752733032,18.50685844936773,0.01757509296405743,0.8118,69515.30612244898,0.056538903655003456,1
Форилино,0.7303236545489507,medium,FMCG,6.255750041753367,14.387135094239547,0.0305172632891271,0.8321,3406.0403846153845,0.17845263028212394,1
Арорбург,0.7302646451160284,medium,CEHAC,5.480638923341991,16.023963746714628,0.0279575204049412,0.9288,38082.11715481171,0.3534407153094184,1
