merchant_mask;gen_industry;segment_type;in_market;gmv;orders;shows;above_market_shows;below_market_shows;clicks;do_clicks;share_above_market;share_below_market;share_normal;share_too_few_offers
Терурово;;no_market;0;0;49136;19733;18412;1092;373;;0,0266;0,7317;0,0192;
Эльмирполис;Fashion;nano;no_market;11;1;342771;0;0;4911;373;;0,5012;0,3376;0,0172
Даркарридж;DIY;nano;no_market;4133;8;85857;173;71;2957;373;;0,5802;0,2256;0,0382
Царевкент;DIY;small;no_market;21965;4;387070;47569;8317;6564;372;;0,9047;0,0802;0,0046
Невкартаун;DIY;nano;no_market;2715;5;110380;1655;1605;2796;372;;0,4898;0,4082;0,0107
Велавово;Other;small;no_market;11;1;130199;323;126;4938;372;;0,0684;0,5408;0
Лесбринсково;Home;medium;no_market;4335;15;130857;3898;4056;2265;372;;0,576;0,2483;0,0698
Малальельск;Home;medium;no_market;9253;4;185422;366;372;2841;372;;0,6556;0,093;0,0207
Речхолмполис;CEHAC;medium;market;2598;17;220831;89480;72836;4541;372;;0,5655;0,3222;0,0121
Светукент;Pharma;small;market;84992;54;388304;192543;43386;6612;372;;0,8303;0,1462;0,0044
Лесполчестер;;no_market;0;0;55149;359;380;1308;372;;0,1969;0,4272;0,0689;
Беломридж;FMCG;small;no_market;12163;1;57880;20746;8850;1534;372;;0,6921;0,2706;0,0169
Тихавинск-3890;DIY;medium;no_market;577017;39;390558;6;2;14234;372;;0,4277;0,3529;0,2194
Велдельград-3891;DIY;medium;no_market;321468;52;563326;1192;1748;12710;372;;0,354;0,425;0,009
Чистуроград;FMCG;medium;market;13169;17;240614;96173;93532;4519;372;;0,7059;0,2169;0,0023
Беркарчестер;Other;medium;no_market;112515;9;428294;1280;1448;9470;372;;0,4759;0,2686;0,1723
Даромистан;Other;small;no_market;608;4;64091;66;8;2814;372;;0,7247;0,208;0,0353
Долольпорт;DIY;medium;no_market;2145576;46;338037;0;0;8598;372;;;;
Старярридж;CEHAC;medium;no_market;31155;15;111489;27947;15365;3082;372;;0,6069;0,2222;0,0146
Тихелвиль;Fashion;nano;no_market;22;2;125569;59;83;2568;372;;0,6963;0,1887;0,0895
Аромхилл;CEHAC;small;market;930;12;114880;30628;629;2761;372;;0,8566;0,1353;0,0006
Озергринск;CEHAC;nano;no_market;65;2;53646;31202;22870;1176;372;;0,2599;0,5388;0,0188
Долтерчестер;Fashion;small;no_market;0;0;98989;0;0;1435;372;;0;0,0765;0,8361
Эльполсково-3901;Other;nano;no_market;18072;2;284033;0;0;2331;371;;;;
Форилинск-3902;Fashion;small;no_market;5187;3;30735;0;0;577;371;;;;
Эльирпорт;DIY;big;no_market;0;0;546396;0;0;18577;371;;;;
Зоромино;DIY;small;market;3545;11;69550;7916;2595;2644;371;;0,7482;0,1926;0,0019
Велкарино;FMCG;medium;no_market;337154;45;280313;54438;40905;6180;371;;0,5424;0,2837;0,0948
Уститаун;DIY;medium;no_market;31782;7;103022;3469;834;2151;371;;0,7125;0,2279;0,0026
Тихавсково;Pharma;small;no_market;20598;10;179160;60045;28972;3481;371;;0,619;0,2433;0,0147
Горвинино;FMCG;medium;no_market;41711;23;394816;1594;601;4933;371;;0,4282;0,3623;0,205
Озеркарполис;DIY;small;no_market;102198;2;57363;1070;771;2096;370;;0,7944;0,1098;0,0158
Арвинельск;Other;medium;no_market;117417;11;117197;2028;1808;3679;370;;0,6721;0,3002;0,0171
Скалстоельск;Other;nano;no_market;389;5;64973;0;0;1198;370;;0,5732;0,0354;0,3914
Холерпорт-3912;Fashion;big;no_market;4095;5;361140;0;0;4500;370;;0,5;0,5;0
Северавемир;Home;big;no_market;728897;20;536193;0;0;8478;370;;0,7063;0;0,2916
Росоворск;Other;medium;no_market;535;3;218231;37951;36363;4318;370;;0,5226;0,2394;0,0274
Горхолмск-3915;Fashion;medium;no_market;37485;7;426516;4512;3394;7173;370;;0,6359;0,2653;0,0389
Ярилсково;Other;medium;no_market;7035;4;145221;0;0;4565;370;;0,1516;0;0,8484
Миранск;Home;nano;market;525;2;83722;260;8;1629;369;;0,9811;0,0026;0,0138
Лунгринполис;DIY;medium;market;322923;9;171251;569;501;4277;369;;0,5647;0,2361;0,0259
Южольсково;Other;small;no_market;23714;11;83074;26;1;3166;369;;0,7933;0,0511;0,0265
Скалхолмридж;Home;small;market;214;18;93950;268;258;2093;369;;0,5726;0,1013;0,0558
Малелистан;Other;medium;no_market;166274;32;401637;0;0;3677;369;;0,9683;0,0003;0,0283
Приайсково;DIY;medium;no_market;88003;8;85203;32599;15464;2634;369;;0,4654;0,4603;0,016
Озергриноград;Pharma;medium;no_market;15001;26;194514;127043;95176;13650;369;;0,1049;0,8756;0,0036
Каммирино;CEHAC;nano;no_market;1656;2;56179;30181;26595;1439;369;;0,714;0,2082;0,0005
Южвилельск;FMCG;medium;no_market;16725;4;172469;57;51;1904;369;;0,3152;0,5351;0
Камдорбург;CEHAC;medium;market;39219;5;253263;128333;110189;3920;369;;0,5296;0,274;0,0042
Бераристан;CEHAC;nano;no_market;597;1;47137;12211;11127;1164;369;;0,8268;0,1311;0,0148
Мирарово;DIY;nano;no_market;19117;5;104590;4744;278;3074;369;;0,8658;0,0914;0,0196
Нордланвиль;DIY;small;market;350;1;254958;3421;1042;4173;369;;0,7205;0,1771;0,0122
Теровск;Fashion;small;no_market;71248;13;222615;3;3;2867;368;;0,6879;0,0988;0,1493
Форомвиль;DIY;medium;no_market;346143;18;109631;29;21;4862;368;;0,6302;0,2556;0,0414
Волстоово;Home;medium;no_market;0;0;50833;0;0;1274;368;;;;
Даренбург;Other;medium;no_market;330;11;154069;0;0;3466;368;;0,4694;0,3178;0,2088
Светонистан;FMCG;medium;no_market;167;6;421625;0;0;7033;368;;0,1025;0,0142;0,8331
Терярполис;DIY;small;no_market;28165;13;151482;3162;2184;6322;368;;0,6729;0,2157;0,0114
Южполтаун;Other;small;no_market;525;7;166122;1;0;3980;368;;0,6344;0,1472;0,2057
Южаридж;DIY;small;market;48075;19;105644;33;16;3126;368;;0,7851;0,1644;0,0134
Жарольоград;DIY;small;no_market;2925;9;103753;39;37;3036;368;;0,5686;0,2144;0,0301
Белорск;DIY;medium;no_market;0;8;334323;54243;51088;5260;368;;0,4654;0,3636;0,0002
Теритаун;Other;medium;no_market;2735;12;168966;0;0;5452;368;;0,6606;0,1531;0,0538
Радерсково;Other;medium;no_market;677468;29;296794;684;659;6581;367;;0,6198;0,3308;0,0213
Камхолмридж;Home;small;no_market;45;1;73255;0;0;2329;367;;0;0;1
Араполис;Fashion;nano;no_market;0;0;14783;0;0;671;367;;;;
Лунуюбург;DIY;medium;no_market;702884;47;358913;23689;32556;11948;367;;0,1724;0,455;0,0095
Невавкент;CEHAC;nano;no_market;0;0;42297;12684;11534;1543;367;;0,7314;0,2104;0,0482
Нордмирвиль;Home;small;market;172134;8;202146;0;0;5975;367;;0,1339;0,6825;0,1527
Форуюкент;Pharma;nano;market;5997;28;99509;19010;10126;2225;366;;0,8867;0;0,0403
Камонград-3948;FMCG;small;no_market;419;5;30015;1077;136;1320;366;;0,7261;0,1819;0,088
Лунирпорт;Fashion;nano;no_market;17693;4;169098;0;0;3638;366;;0,5596;0,017;0,3954
Зореград;DIY;nano;no_market;0;0;61773;1;1;1650;366;;0,1;0,2;0,7
Жаркаринск;DIY;small;market;325;1;43655;4;1;1599;366;;0,6166;0,2319;0,1131
Жармаремир-3952;DIY;small;no_market;325;1;65187;0;0;1398;366;;0;1;0
Камаино;DIY;small;no_market;86894;2;118117;27431;2617;2637;366;;0,8719;0,1014;0,0049
Белилемир-3954;DIY;medium;no_market;551657;22;159919;4302;1353;5283;366;;0,6227;0,2629;0,0316
Старенельск;Home;small;no_market;37776;6;134353;27;13;5299;366;;0,5343;0,4476;0,0181
Теровино;Other;medium;no_market;19064;11;193804;293;429;3520;366;;0,5403;0,2716;0,0811
Финольполис;Other;small;no_market;148185;13;138819;2691;1314;3257;365;;0,6653;0,2212;0,0345
Беромполис;Other;nano;no_market;645;3;79663;0;0;1307;365;;0,3289;0,3076;0,3635
Приининск;Home;medium;no_market;0;0;211254;0;2;1598;365;;0,2633;0,511;0,1158
Яруридж;CEHAC;small;no_market;9597;2;46986;17433;1403;1213;365;;0,8337;0,061;0,1038
Царорельск;FMCG;nano;no_market;112;3;234285;0;0;1927;365;;0;0;1
Елиридж;CEHAC;small;market;101414;17;135533;3445;2314;3186;365;;0,6022;0,2664;0,0555
Камаремир;Fashion;small;no_market;0;0;477361;0;0;2253;364;;0,9379;0;0,0621
Клинуюридж;DIY;medium;no_market;3096;15;65565;167;66;2630;364;;0,597;0,3879;0,0151
Мирвилтаун;Fashion;nano;no_market;0;0;237041;0;0;2568;364;;0,8619;0,103;0,0211
Уралевридж;Other;medium;no_market;300;3;186552;4669;3133;4698;364;;0,7973;0,0738;0,0412
Устальполис;Other;small;no_market;9204;4;235415;261;134;1724;364;;0,8338;0,062;0,0281
Тихланельск;Other;medium;no_market;21139;14;128030;561;0;4131;364;;0,8808;0,017;0,1021
Северуск;DIY;small;no_market;0;0;170730;0;0;2778;364;;0,057;0,924;0,019
Камвинтаун;Fashion;medium;no_market;1385;2;281274;0;0;7478;364;;;;
Холеноград;DIY;nano;no_market;975;3;88625;1;0;2266;364;;0,8103;0,069;0,0948
Речдорбург;FMCG;nano;no_market;5999;1;98899;0;0;2362;363;;0;0;0
Зордельемир;Home;medium;no_market;107;6;112506;4161;827;2318;362;;0,7186;0,1134;0,1521
Южиртаун;Fashion;medium;no_market;0;0;202523;0;0;5100;362;;1;0;0
Елайтаун;CEHAC;medium;market;347937;9;175001;50174;28037;3637;362;;0,5981;0,3117;0,022
Мирольельск-3976;Other;medium;no_market;12312;14;201542;0;0;2297;361;;0,8318;0,0224;0,0035
Холланемир;Fashion;medium;no_market;11755;9;296655;6212;11634;5797;361;;0,5131;0,2147;0,0365
Табургридж;DIY;medium;market;11545;12;234565;10276;8085;5637;361;;0,4628;0,3576;0,0864
Скалуютаун;Pharma;medium;no_market;41586;29;310782;28890;49819;9409;361;;0,1302;0,3294;0,0516
Тероноград;Other;small;no_market;101;2;104299;0;0;3573;361;;0,3641;0,085;0,3393
Лесбринкент;CEHAC;small;no_market;5945;11;212490;673;568;4610;361;;0,431;0,4538;0,0291
Лункаркент;Other;medium;no_market;165;3;121114;0;0;2482;361;;0,1668;0,7737;0,003
Лункарино;CEHAC;nano;no_market;325;1;58540;36683;13850;1535;361;;0,6912;0,2455;0,0474
Старерхилл;Fashion;medium;no_market;295;7;140225;0;0;4625;360;;0;0;1
Эльбургчестер;Pharma;small;no_market;12;1;116934;15715;17076;2538;360;;0,5332;0,1721;0,0275
Нордилбург;Home;medium;no_market;15781;21;400801;32;53;4634;360;;0,6779;0,2261;0,0824
Радельск;DIY;medium;no_market;50804;4;153307;67;82;4117;360;;0;0,9395;0,0605
Озереельск;Other;medium;no_market;41568;33;155295;40;30;5484;360;;0,5749;0,1797;0,2285
Малдортаун;DIY;small;no_market;52;3;208187;158;105;3670;359;;0,433;0,3543;0,1606
Зороельск-3990;Home;small;no_market;130;4;56024;0;0;1942;359;;;;
Новавинск;Other;nano;no_market;1349;11;56708;18173;5513;1692;359;;0,3919;0,4659;0,0383
Солненпорт;Fashion;medium;no_market;35885;3;145050;0;0;1825;359;;0,6522;0,3478;0
Лесоново;Fashion;medium;no_market;4866;5;125278;0;0;1845;359;;0;0,1;0
Приотаун;CEHAC;small;no_market;661057;13;96024;21930;7996;2385;359;;0,4541;0,5261;0,0174
Зореноград-3995;Other;medium;no_market;325;1;85948;0;0;2329;359;;0,1327;0,0663;0,7425
Южеемир;DIY;small;no_market;146363;18;194088;27401;1144;2707;359;;0,958;0,0173;0,0084
Новополис;CEHAC;small;no_market;3045;16;98444;7122;5414;3872;359;;0,5179;0,3877;0,0295
Уралгринбург;Other;medium;no_market;1626;2;239669;25;1;4847;359;;0,693;0,0967;0,1863
Тастовиль;DIY;medium;no_market;19439;3;126174;291;135;3315;359;;0,4748;0,3823;0,0252
Беленельск;DIY;medium;no_market;725;1;163816;5221;5229;7546;358;;0,783;0,1163;0,006
Камерино;Other;medium;no_market;3475;6;171303;3864;2792;4081;358;;0,5219;0,3355;0,0159
Дарахилл;Fashion;medium;no_market;15452;7;294305;486;548;4426;358;;0,5604;0,2569;0,041
Лесенвиль;Fashion;medium;no_market;14692;3;252558;0;0;3991;358;;0,8784;0,0807;0,0212
Таавчестер;Other;medium;no_market;222883;20;438612;1470;1331;4213;358;;0,243;0,4228;0,0084
Чистевкент;Fashion;medium;no_market;47891;7;209695;0;0;3396;358;;;;
Лесуюистан;CEHAC;small;no_market;27308;1;261248;119335;28005;3382;358;;0,8172;0,1368;0,0172
Тераинск;DIY;medium;market;278081;5;198198;9477;6685;4625;358;;0,6688;0,2468;0,0252
Зоренград;Fashion;nano;no_market;6;2;237030;0;0;2966;357;;;;
Териридж;CEHAC;small;market;494;11;338233;85671;65312;3535;357;;0,5521;0,3604;0,0205
Мирмарвиль;Fashion;small;no_market;325;1;113112;1503;1372;2322;357;;0,8302;0,0935;0,0116
Аряремир;Other;small;no_market;25725;12;123578;1532;734;3369;357;;0,6666;0,2534;0,0401
Финтерпорт;Other;medium;no_market;1729;3;200282;15;26;2794;357;;0,5641;0,1718;0,1718
Эльанхилл;Other;medium;no_market;5786;16;180378;3226;2447;2929;357;;0,4896;0,3377;0,0702
Долевино;Other;medium;no_market;1181;8;107096;104;63;3625;357;;0,3734;0,3521;0,1784
Светомсково;DIY;medium;no_market;111638;16;175354;11613;7600;5066;357;;0,5605;0,3585;0,0069
Елполоград-4016;DIY;small;no_market;0;0;175700;11;4;3652;357;;0,8526;0,0231;0,0029
Илелоград;Other;medium;no_market;875;1;131715;0;7;3497;357;;0,4086;0,0564;0,489
Росоино;DIY;small;no_market;0;0;60810;0;0;1476;357;;;;
Воларпорт;DIY;medium;no_market;0;0;217369;0;0;3055;357;;;;
Портуистан;DIY;small;no_market;11;1;142150;1;0;2150;357;;0,2038;0,0119;0,6451
Таайоград;Fashion;small;no_market;3236;3;57737;0;0;704;357;;;;
Старомград;FMCG;small;no_market;43;3;199978;24280;20625;2895;357;;0,2707;0,6738;0,0061
Новвинемир;Pharma;small;market;151996;51;289283;116471;109424;7084;357;;0,5048;0,4254;0,0015
Невирполис;DIY;medium;no_market;0;0;49836;27;23;1355;357;;0,4102;0,5271;0
Жаруельск;CEHAC;small;no_market;587777;40;84898;0;0;2751;357;;0,9498;0,0154;0
Портуюск-4026;Other;small;market;8315;41;145147;19;9;3326;356;;0,8427;0,1003;0,0426
Радоввиль;Other;medium;no_market;34869;14;877043;1;1;8210;356;;0,724;0,1455;0,0254
Лунинбург;Fashion;small;no_market;22625;15;166924;69;0;3392;356;;0,5091;0,3137;0,0872
Озерстоск;Fashion;nano;no_market;0;0;67826;162;411;1108;356;;0,3442;0,375;0,0615
Форурпорт;CEHAC;small;market;11133;7;82187;14497;10023;2569;356;;0,8063;0,1495;0,0385
Невхолмград;Pharma;small;market;576;2;175920;22576;15380;3075;356;;0,45;0,3369;0,1318
Радирбург;CEHAC;nano;no_market;25637;5;59362;12125;1879;1794;356;;0,8133;0,1522;0,0122
Норддельград;FMCG;medium;no_market;15972;5;159582;80053;70999;2101;356;;0,2405;0,4878;0,0227
Норддорград;Other;medium;market;9649;8;118488;0;0;4266;356;;0,5902;0,2328;0,169
Горайбург;DIY;medium;no_market;4015;15;257947;10329;4802;7453;356;;0,352;0,4799;0,0223
Фораельск;FMCG;medium;no_market;33685;31;506429;0;0;10480;356;;0,3662;0,3216;0,0546
Устярчестер;Home;nano;no_market;11066;7;366138;0;0;3954;356;;0,9941;0;0,0059
Невайоград;Other;medium;no_market;34283;12;347433;581;608;4600;356;;0,7274;0,0684;0,0319
Южальтаун;CEHAC;small;no_market;3632950;6;132196;72773;61202;1782;356;;0,5684;0,3171;0,0002
Чистинорск;DIY;small;no_market;762;8;72928;12549;12889;2078;355;;0,0663;0,5126;0,015
Лесмарполис-4041;Other;medium;no_market;18625;3;106058;0;0;1848;355;;1;0;0
Доленск;DIY;medium;no_market;371;18;312260;0;0;5967;355;;0,4231;0,5577;0,0192
Оролькент;DIY;nano;no_market;161115;10;29309;97;26;1030;355;;0,8865;0,089;0,0058
Ориинск;DIY;medium;no_market;630462;6;127199;10184;6693;3386;355;;0,7665;0,1089;0,0045
Ладенистан;Other;medium;no_market;182;12;209800;0;0;6630;355;;0,4265;0,4583;0,0408
Елхолмбург-4046;CEHAC;medium;no_market;15851134;167;1356250;357091;203080;15302;355;;0,7945;0,1609;0,0026
Эльилово;DIY;small;no_market;463538;16;80258;2997;259;3028;355;;0,9755;0,0105;0,0075
Финвинтаун;DIY;small;no_market;3955;16;86415;0;0;3001;355;;0,6625;0,1381;0,0135
Эльомчестер;FMCG;small;no_market;141892;8;179259;0;0;4477;355;;0,8068;0,0852;0,108
Клинсточестер;Other;medium;no_market;7085;10;231674;30802;14155;10445;355;;0,8131;0,1582;0,0125
Цармиртаун;DIY;small;no_market;50785;45;58174;0;0;3694;355;;0,902;0,0392;0,0588
Царовельск;CEHAC;small;market;485508;10;135762;80114;10576;1868;355;;0,7968;0,1748;0,007
Росвилград;Other;medium;no_market;65;2;167237;0;0;3358;354;;0,5792;0,2297;0,0832
Эльольино;Home;small;no_market;20435;16;190097;123;23;4538;354;;0,7366;0,149;0,0782
Озерфордридж;Pharma;medium;no_market;141369;31;210214;166118;110656;6295;354;;0,6037;0,3579;0,0133
Даренхилл;Other;small;market;1455;5;123054;8364;3666;1684;354;;0,7386;0,1994;0,0539
Скалланполис-4057;FMCG;small;no_market;40474;8;243915;181764;160901;4069;354;;0,8496;0,0896;0,0109
Аренинск;Pharma;nano;no_market;9621;13;93621;3397;5279;2577;354;;0,3619;0,17;0,1432
Малеркент;Home;nano;no_market;120008;9;78435;1226;78;2615;353;;0,9082;0,0401;0,0453
Жартерорск;DIY;small;no_market;42531;4;230028;69;74;5551;353;;0,7736;0,0091;0,0288
Ладоввиль;CEHAC;small;no_market;61536;9;473000;249264;174808;4743;353;;0,4992;0,4167;0,0176
Дарирхилл;DIY;small;no_market;850483;18;234449;0;0;7499;353;;0;1;0
Новальбург;Pharma;small;no_market;34487;15;112408;0;0;5678;353;;0,1053;0,2591;0,5344
Дараристан;Other;small;market;122;3;70010;2;0;2138;353;;0,7345;0,2143;0,0396
Севердорсково;Other;medium;no_market;4729;9;262461;950;1129;4084;353;;0,2728;0,5157;0,0064
Речвинтаун;Fashion;small;no_market;0;0;196791;0;0;2911;353;;0,5859;0,2929;0,1212
Зорделькент-4067;Home;medium;no_market;18797;12;157475;672;135;5827;353;;0,9109;0,0331;0,0012
Велельинск;DIY;small;no_market;3585;3;87271;542;616;2734;353;;0,7142;0,0257;0,107
Волбургридж;Pharma;nano;no_market;11106;4;35851;33988;178;758;353;;1;0;0
Финавистан;DIY;medium;no_market;213;4;129048;2;0;2240;353;;0,3039;0,2;0,4961
Новмарридж;DIY;medium;no_market;19575;3;119977;288;217;2551;352;;0,2978;0,677;0,0125
Холельбург;;no_market;0;0;69027;0;0;1264;352;;0;0;1;
Финбургчестер;DIY;nano;no_market;0;0;60698;83;5;832;352;;0,5853;0,239;0,129
Речанград;Other;medium;no_market;24907;42;538989;7;2;5702;352;;0,8662;0,0994;0,029
Росвинград;FMCG;medium;no_market;76921;28;631504;224044;224153;11607;352;;0,5963;0,2847;0,0035
Ясонпорт;Fashion;small;no_market;0;0;274556;0;0;2443;352;;0,3071;0,2677;0,0787
Аренполис;CEHAC;nano;no_market;2277;3;33077;20840;10122;737;352;;0,5965;0,3244;0,0142
Устольвиль;DIY;medium;no_market;181536;13;267172;16472;7469;5779;352;;0,6233;0,299;0,0229
Нордярбург-4079;DIY;small;no_market;18315;14;82267;0;0;3475;352;;1;0;0
Приольистан;DIY;medium;no_market;1735;6;111849;104;0;3397;351;;0,8964;0,0631;0,035
Уралерельск;Other;medium;no_market;4875;15;72626;0;0;2343;351;;0,565;0,3169;0,0698
Солнтерпорт;Other;small;market;50461;23;376332;234176;81256;6801;351;;0,5758;0,3004;0,0086
Солнинбург;Other;medium;market;11245;26;225357;0;0;8571;351;;0,1123;0,0268;0,8522
Мириноград;DIY;small;no_market;307928;6;216858;78531;62002;4089;351;;0,939;0,0227;0,0018
Светуроград;Home;medium;no_market;46395;23;143276;407;230;2197;351;;0,6818;0,2424;0,051
Царуорск;DIY;medium;market;366597;34;469944;14181;10078;11342;351;;0,802;0,1617;0,012
Царстокент;DIY;nano;no_market;47067;6;70406;33928;7978;1559;351;;0,8555;0,099;0,0055
Озердорполис;Other;medium;no_market;0;0;102174;2214;1622;2472;351;;0,9893;0,005;0,0046
Тихтерград;DIY;medium;no_market;971727;9;93370;4008;2472;2498;351;;0,8711;0,0874;0,0119
Луненкент;Other;medium;no_market;12471;6;532344;26515;19768;4366;350;;0,6911;0,2078;0,0613
Камхолмово;CEHAC;nano;no_market;200;2;273145;173761;118270;4151;350;;0,5413;0,2913;0,0232
Холдельград;Fashion;small;no_market;6735;21;222673;0;0;4108;350;;0,4969;0,2677;0,0048
Портольград;CEHAC;medium;no_market;363849;28;599513;81694;71663;11976;350;;0,5678;0,2554;0,0158
Новвилкент;Other;medium;no_market;10735;7;178101;142;60;4883;350;;0,7009;0,1338;0,1567
Озероово;DIY;small;no_market;325;1;192789;17;14;4094;350;;0,7951;0,0946;0,0088
Белвилсково;CEHAC;small;market;3723;6;157524;60783;54707;3123;350;;0,2355;0,5677;0,003
Северхолмвиль;DIY;small;market;3307;8;238480;23834;6444;3710;350;;0,8667;0,0795;0,0527
Еленбург;Fashion;medium;no_market;47184;4;206205;0;0;2390;350;;;;
Тихярбург-4099;DIY;nano;no_market;27;1;104582;0;0;1106;350;;;;
Формиремир;Fashion;nano;no_market;17;3;251893;0;0;2996;349;;0,3963;0,1823;0,2523
Клинелсково;Pharma;medium;market;1866;3;279618;219261;98613;3820;349;;0,8581;0,0985;0,0008
Миробург;Other;nano;no_market;24254;1;48117;0;0;1852;349;;0,449;0,1277;0,3876
Светуюинск;DIY;nano;no_market;100;1;48391;0;0;1565;349;;;;
Ладурельск;Fashion;nano;no_market;431;1;70109;0;0;932;349;;0,786;0,089;0,0719
Лесдоркент;DIY;medium;no_market;22;2;240874;4;3;4579;349;;0,7508;0,2126;0,0133
Луномемир-4106;CEHAC;medium;no_market;28294;4;124297;2576;1382;2525;349;;0,9366;0,0474;0,0153
Ярдельоград;Other;medium;no_market;72182;14;421342;47538;37623;11076;349;;0,5741;0,2521;0,0123
Арбринридж;Fashion;medium;no_market;0;0;192228;0;0;2342;349;;;;
Невухилл;CEHAC;big;no_market;3315;4;416385;267139;227578;3607;348;;0,5089;0,4091;0,0037
Росенорск;DIY;medium;no_market;1065000;6;323218;696;168;8480;348;;0,2909;0,2732;0
Уралайск;Pharma;small;no_market;58716;9;182543;21829;10526;3891;348;;0,6466;0,2685;0,0157
Камтертаун;FMCG;small;no_market;34904;17;123463;61663;44772;3057;348;;0,3207;0,5878;0,0026
Берайполис;Other;small;no_market;6011;8;99869;0;0;5032;348;;0,5275;0,1439;0,1793
Финбургсково;DIY;small;no_market;1386;3;167876;5109;505;3202;348;;0,8446;0,1149;0,0289
Клинаистан;Fashion;nano;no_market;325;1;137682;0;0;2919;348;;0,478;0,4091;0,0176
Илхолмистан;Home;nano;no_market;325;1;72323;972;11;1696;348;;0,7655;0,071;0,1349
Скалгринполис;FMCG;medium;no_market;115439;41;95961;3062;10310;2073;348;;0,3872;0,3285;0,0533
Велелово;Home;nano;no_market;0;0;82766;31;44;1207;347;;0,6525;0,0559;0,2744
Лескарвиль;DIY;medium;no_market;488969;20;203307;436;408;7694;347;;0,4896;0,1349;0,3068
Портольово;DIY;small;no_market;0;0;221704;9973;226;2308;347;;0,9755;0,0152;0,0066
Ярелово;DIY;medium;no_market;79916;7;122571;1716;828;4271;347;;0,4848;0,2827;0,0246
Финдельск;DIY;medium;no_market;137;3;71237;346;126;2636;347;;0,669;0,2901;0,0079
Новельск;DIY;medium;no_market;685;1;246758;8894;7404;3872;347;;0,2716;0,4437;0,0848
Форевчестер;Home;nano;no_market;8274;7;210531;0;0;3863;347;;0,9959;0;0,004
Зорланистан;DIY;medium;no_market;10222;9;128880;17852;9122;3135;347;;0,67;0,215;0,0325
Лесбургельск;DIY;small;no_market;20205;16;159871;4;4;4447;347;;0,5548;0,0695;0,2238
Яркаремир-4127;DIY;medium;no_market;0;0;108537;179;254;2755;347;;0,517;0,2602;0,0021
Клинуюполис;DIY;small;no_market;0;0;206605;3033;2477;2376;347;;0,6049;0,1548;0,0031
Миртеремир;Fashion;medium;no_market;328108;7;167625;0;0;3172;346;;0,7973;0,0932;0
Новарпорт;CEHAC;medium;no_market;5107130;96;1456507;252513;40108;18723;346;;0,9542;0,0448;0
Портомпорт;FMCG;medium;market;27289;17;397332;1622;1947;13052;346;;0,4199;0,3407;0,043
Светольинск;Other;nano;no_market;66055;10;215715;4;2;2074;346;;0,3725;0;0
Уралвилинск;FMCG;medium;no_market;52774;44;192200;164377;50888;3328;346;;0,7912;0,2022;0,0004
Чистфордполис;Fashion;nano;no_market;165;2;124539;0;0;1699;346;;0,8187;0;0,1813
Елинбург;DIY;small;no_market;18795;14;109474;1383;968;1767;346;;0,6563;0,2653;0,0381
Тереридж;Other;medium;no_market;39048;9;125019;3152;1372;4701;346;;0,5694;0,2817;0,0944
Лесинкент;Other;medium;no_market;2265;6;185268;6549;3248;2235;345;;0,572;0,2531;0,0289
Ясфордпорт;DIY;small;no_market;503;14;112530;2775;2023;2339;345;;0,6612;0,1964;0,0965
Жархолмистан-4139;Home;medium;no_market;29395;17;264953;3224;2709;9952;345;;0,3341;0,4016;0,0968
Долгринград;CEHAC;small;no_market;221;9;138462;4804;2910;3477;345;;0,5052;0,3725;0,0358
Ураловемир;CEHAC;nano;no_market;200;2;36507;9350;5788;1591;345;;0,6552;0,2408;0,0585
Озерилистан;DIY;nano;no_market;325;1;144755;110;130;2270;345;;0,4365;0,3767;0,0026
Малольполис;Other;medium;no_market;14075;20;357817;1;0;3656;345;;0,9386;0,0008;0,0495
Невдорполис-4144;DIY;small;no_market;0;0;147339;31403;5596;3233;345;;0,5485;0,2969;0,0256
Яртеремир-4145;CEHAC;medium;market;360548;12;215173;110451;79554;3470;345;;0,3773;0,4761;0,0152
Терярск;Home;medium;no_market;196432;18;82185;0;0;1257;345;;0,9947;0,0035;0,0018
Новилчестер;DIY;medium;no_market;66158;5;158808;4699;4912;3298;345;;0,8206;0,1303;0,0034
Устирсково;Home;medium;no_market;124556;3;202180;0;0;5038;345;;0,2885;0,6052;0,0365
Форбургино;DIY;small;no_market;185;9;152253;0;0;2682;345;;0,5207;0,1636;0,1223
Арбургград;CEHAC;nano;no_market;3695;1;105965;3426;3331;2342;345;;0,5235;0,4666;0,0003
Аретаун;CEHAC;nano;no_market;0;0;43934;2516;376;921;345;;1;0;0
Новполридж;Other;small;no_market;1082;10;81673;4508;3421;2251;344;;0,6313;0,0917;0,0591
Холуювиль;CEHAC;small;no_market;7275;8;95192;8005;3833;2952;344;;0,5745;0,2949;0,0302
Нордвилино;FMCG;small;no_market;518;21;328490;0;0;3398;344;;0,3118;0,3388;0,2483
Малярово;FMCG;small;no_market;27796;10;82091;52625;28733;1499;344;;0,531;0,3411;0,0003
Росвиноград;DIY;medium;no_market;209;6;85465;1622;1042;1670;344;;0,4179;0,4225;0,0391
Гордельемир;Home;medium;no_market;283;14;308360;0;0;5571;344;;0;0;0
Илхолмоград;FMCG;medium;no_market;56297;3;102784;4;4;2261;343;;0,2616;0,3914;0,0463
Южароград;DIY;medium;no_market;11;2;67005;0;0;1991;343;;0,7201;0,2108;0,0478
