merchant_mask;gen_industry;segment_type;in_market;gmv;orders;shows;above_market_shows;below_market_shows;clicks;do_clicks;share_above_market;share_below_market;share_normal;share_too_few_offers
Светкарчестер;Other;small;no_market;55;1;23532;0;0;605;87;;0,7864;0;0,2039
Уралальск-10687;DIY;small;no_market;0;0;21175;0;0;607;87;;;;
Елвиноград;CEHAC;nano;market;2799;1;22209;6030;669;697;87;;0,674;0,1253;0,0115
Скаломистан;DIY;nano;no_market;0;0;16848;62;49;340;87;;0,5722;0,3937;0,0223
Волархилл-10690;CEHAC;small;no_market;2324;7;37995;20013;21247;931;87;;0,3642;0,5271;0,0042
Ладаремир-10691;DIY;small;no_market;33872;3;39872;0;0;1944;87;;0,25;0,5889;0,05
Светвилистан;Home;nano;no_market;2764;4;26115;0;0;551;87;;0,7035;0,0829;0,1905
Долмарск;Other;medium;market;23857;3;118713;24011;27191;4283;87;;0,5845;0,2544;0,0108
Нордуристан-10694;DIY;nano;no_market;705;3;22051;0;0;496;87;;0,9039;0,0835;0,0058
Терярбург;Other;nano;no_market;0;;5998;0;0;219;87;;0,6836;0,0358;0
Волайвиль;DIY;medium;no_market;342;4;89678;3024;1867;2019;87;;0,5281;0,3976;0,013
Мирбринридж;DIY;nano;market;2;1;36877;488;451;612;87;;0,5241;0,3088;0,032
Финкарридж;DIY;medium;market;2402;2;185418;242;252;1026;87;;0,3328;0,4839;0,0005
Артеринск-10699;Other;nano;no_market;128;2;34376;0;0;973;87;;0,7243;0,1355;0,1284
Оргринино;FMCG;nano;no_market;36;1;22828;0;0;551;87;;;;
Холдельпорт-10701;Home;nano;no_market;9365;5;16179;238;215;613;87;;0,7978;0,1394;0,006
Жараворск;Other;small;no_market;21049;2;29611;0;0;665;87;;;;
Царфордкент;DIY;small;no_market;55;1;116825;51;32;1738;87;;0,3823;0,4266;0,1229
Татертаун;DIY;small;no_market;0;0;60451;0;0;831;87;;1;0;0
Светайридж;FMCG;nano;no_market;0;0;22698;0;0;634;87;;;;
Берольинск-10706;Fashion;medium;no_market;0;0;114270;0;0;1803;87;;;;
Белбриново-10707;Other;small;no_market;369;1;29249;501;393;425;87;;0,5376;0,214;0,0212
Малельпорт;FMCG;nano;no_market;299;2;94056;42560;43074;1498;87;;0,3392;0,5078;0
Белайск;FMCG;small;no_market;0;0;104204;0;0;951;87;;;;
Даровполис-10710;CEHAC;small;no_market;7625;9;54399;2732;2563;1144;87;;0,5311;0,3056;0,0434
Речиноград;Other;medium;no_market;7015;15;270207;12239;13110;5459;87;;0,2345;0,5425;0,0367
Цардорпорт;Home;medium;no_market;3545;4;146021;0;0;2643;87;;0,3845;0,1407;0,0111
Орурхилл;Home;small;no_market;589;5;137791;0;0;6140;87;;;;
Даравхилл-10714;Other;medium;no_market;12188;17;76502;0;0;1998;87;;0,0196;0;0,9758
Ярярельск;CEHAC;small;no_market;116268;1;40134;0;0;447;87;;0,589;0,4041;0,0068
Елкарпорт;Fashion;small;no_market;0;0;75740;0;0;1550;87;;;;
Речерполис;Fashion;small;no_market;0;0;62272;0;0;2160;87;;;;
Форполемир;Other;medium;no_market;87;3;106577;651;753;2117;87;;0,6226;0,1049;0,0631
Велоельск-10719;CEHAC;nano;no_market;17196;2;26912;224;105;783;87;;0,497;0,2756;0,1506
Веларидж;DIY;nano;no_market;0;0;31534;2959;3064;1258;87;;0,22;0,4396;0,0055
Мирансково;Home;small;no_market;325;1;67183;0;0;1222;86;;0;0,4888;0
Портхолмвиль-10722;DIY;small;no_market;212221;8;59118;3720;2521;1282;86;;0,3529;0,3209;0,1628
Клинмирпорт;DIY;medium;no_market;5655;12;173593;42171;20431;4531;86;;0,6669;0,2699;0,0093
Беральистан;CEHAC;nano;no_market;100;1;41833;23159;3510;860;86;;0,8934;0,0846;0,0194
Горхолмино;DIY;nano;no_market;0;0;33465;2488;2231;568;86;;0,85;0,0999;0,0013
Теретаун-10726;DIY;nano;no_market;16185;2;20255;1840;945;432;86;;0,3555;0,4646;0,0516
